#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	3.54255e-08	0	0	60.704	36.0331	-0.131209	-38940.7	65602.3	-12.1551	70.593	3.11994e-08	0.00186548	2	0.00154109	0	0	103700
3	1	3.16884e-08	0	0	85.4302	-4.53798	0.0331837	3675.73	69200.9	429.913	85.5507	6.90532e-08	0.00621582	2	0.00154109	0	0	78939.7
8	1	5.24464e-08	0	0	50.8803	-103.054	-0.208314	53611.3	26468.8	191.186	114.93	2.80637e-08	0.00367563	4	0.00308217	0	0	31146.3
6	1	7.8192e-08	0	0	81.2503	242.782	0.32973	-37988.7	12713.8	-41.3575	256.016	7.11316e-06	0.00165064	8	0.00616435	0	0	31048.4
9	1	6.61526e-08	0	0	153.401	-111.507	-0.325873	27367.3	37648.9	103.67	189.647	4.96409e-09	0.00281311	8	0.00616435	0	0	31655.3
5	1	7.99593e-08	0	0	261.158	-58.3584	0.163231	8544.89	38240	-118.262	267.597	9.73354e-06	0.0030792	16	0.0123287	0	0	31106.6
2	1	5.67e-08	0	3.0035e-09	242.555	416.343	1.59504	-25230.9	14699.1	7.94924	481.848	2.10094e-08	0.00332145	32	0.0246574	0	0	58544.3
10	1	5.17331e-08	0	3.0035e-09	410.078	157.257	-0.773476	-10950.9	28557.3	150.747	439.197	3.04725e-08	0.00523393	32	0.0246574	0	0	61644.4
4	1	3.75304e-08	1.2014e-08	6.007e-09	-898.052	-472.248	1.84772	9365.7	-17810.2	13.6848	1014.65	3.36792e-10	0.00194388	64	0.0493148	0	0	128718
7	1	3.06523e-08	1.2014e-08	6.007e-09	-1672.52	-408.06	-9.90927	3661.44	-15007.9	29.5442	1721.61	2.18626e-10	0.00606526	256	0.197259	0	0	205264
