#ID	init_time	type	mass	wm	swm	r2D	theta	x	y	z	init_temp
1	0	1	3.0035e-08	0	0	70.6124	0.826476	47.8379	51.9389	-0.116195	395.98
2	0	1	3.0035e-08	0	3.0035e-09	482.3	-2.00709	-203.811	-437.12	-1.64892	187.045
3	0	1	3.0035e-08	0	0	85.6158	-1.61306	-3.61713	-85.5393	-0.536255	395.98
4	0	1	3.0035e-08	1.2014e-08	6.007e-09	1015.01	0.842193	675.821	757.302	-1.9744	129.081
5	0	1	3.0035e-08	0	0	268.288	-1.13394	113.51	-243.093	0.917973	250.733
6	0	1	3.0035e-08	0	0	256.807	1.49676	18.9949	256.103	0.243459	256.449
7	0	1	3.0035e-08	1.2014e-08	6.007e-09	1721.9	3.06021	-1716.2	139.974	-10.4467	99.096
8	0	1	3.0035e-08	0	0	115.479	0.980903	64.238	95.9634	0.441662	382.423
9	0	1	3.0035e-08	0	0	190.312	1.61894	-9.15799	190.091	0.540692	297.83
10	0	1	3.0035e-08	0	3.0035e-09	439.624	-0.842555	292.596	-328.112	-2.27907	196.072
