#r [R_J]	sigma [M_J/R_J^2]	T [K]
1.0	3.8991418729526396e-07	1000.4520136100001
2.0	5.95099461850954e-07	1063.4900726347669
3.0	8.002847364066439e-07	1126.5281316595335
4.0	7.949885573421743e-07	1189.5661906843002
5.0	7.896923782777048e-07	1252.604249709067
6.0	7.843961992132352e-07	1315.6423087338337
7.0	7.791000201487656e-07	1378.6803677586004
8.0	7.73803841084296e-07	1441.7184267833672
9.0	7.685076620198265e-07	1504.756485808134
10.0	7.632114829553569e-07	1567.7945448329006
11.0	7.579153038908873e-07	1630.8326038576672
12.0	7.526191248264178e-07	1693.8706628824339
13.0	7.473229457619482e-07	1690.9341553144304
14.0	7.420267666974786e-07	1687.9976477464272
15.0	7.367305876330091e-07	1685.0611401784238
16.0	7.314344085685395e-07	1682.1246326104201
17.0	7.261382295040698e-07	1679.1881250424167
18.0	7.208420504396003e-07	1676.2516174744133
19.0	7.155458713751307e-07	1673.3151099064098
20.0	7.102496923106612e-07	1670.3786023384064
21.0	7.049535132461917e-07	1667.442094770403
22.0	6.996573341817221e-07	1664.5055872023995
23.0	6.943611551172524e-07	1661.5690796343963
24.0	6.890649760527829e-07	1658.6325720663926
25.0	6.837687969883133e-07	1655.6960644983892
26.0	6.784726179238437e-07	1652.7595569303858
27.0	6.73176438859374e-07	1649.8230493623823
28.0	6.678802597949045e-07	1646.886541794379
29.0	6.625840807304349e-07	1643.9500342263755
30.0	6.572879016659653e-07	1641.013526658372
31.0	6.519917226014959e-07	1638.0770190903686
32.0	6.466955435370263e-07	1635.1405115223652
33.0	6.413993644725568e-07	1632.2040039543617
34.0	6.361031854080871e-07	1629.2674963863583
35.0	6.308070063436175e-07	1626.3309888183549
36.0	6.255108272791479e-07	1623.3944812503514
37.0	6.202146482146784e-07	1620.457973682348
38.0	6.149184691502088e-07	1617.5214661143445
39.0	6.096222900857392e-07	1614.584958546341
40.0	6.043261110212697e-07	1611.6484509783377
41.0	5.990299319568001e-07	1608.7119434103342
42.0	5.937337528923304e-07	1605.7754358423308
43.0	5.88437573827861e-07	1602.8389282743274
44.0	5.831413947633914e-07	1599.902420706324
45.0	5.778452156989218e-07	1596.9659131383205
46.0	5.725490366344523e-07	1594.029405570317
47.0	5.672528575699827e-07	1591.0928980023136
48.0	5.61956678505513e-07	1588.1563904343102
49.0	5.566604994410435e-07	1585.2198828663068
50.0	5.513643203765739e-07	1582.2833752983033
51.0	5.460681413121043e-07	1579.3468677303
52.0	5.407719622476348e-07	1576.4103601622965
53.0	5.354757831831652e-07	1573.473852594293
54.0	5.301796041186955e-07	1570.5373450262896
55.0	5.24883425054226e-07	1567.600837458286
56.0	5.195872459897564e-07	1564.6643298902825
57.0	5.142910669252869e-07	1561.7278223222793
58.0	5.089948878608173e-07	1558.7913147542758
59.0	5.036987087963477e-07	1555.8548071862724
60.0	4.984025297318781e-07	1552.918299618269
61.0	4.931063506674085e-07	1549.9817920502655
62.0	4.878101716029391e-07	1547.045284482262
63.0	4.825139925384694e-07	1544.1087769142584
64.0	4.772178134739998e-07	1541.172269346255
65.0	4.7192163440953027e-07	1538.2357617782518
66.0	4.666254553450607e-07	1535.2992542102484
67.0	4.6132927628059113e-07	1532.362746642245
68.0	4.5603309721612157e-07	1529.4262390742415
69.0	4.50736918151652e-07	1526.489731506238
70.0	4.4544073908718243e-07	1523.5532239382346
71.0	4.4014456002271286e-07	1520.616716370231
72.0	4.3484838095824324e-07	1517.6802088022275
73.0	4.295522018937737e-07	1514.743701234224
74.0	4.2425602282930406e-07	1511.8071936662209
75.0	4.1895984376483454e-07	1508.8706860982174
76.0	4.1366366470036497e-07	1505.934178530214
77.0	4.0836748563589535e-07	1502.9976709622106
78.0	4.030713065714258e-07	1500.061163394207
79.0	3.9777512750695627e-07	1497.1246558262035
80.0	3.9247894844248665e-07	1494.1881482582
81.0	3.8718276937801703e-07	1491.2516406901966
82.0	3.818865903135475e-07	1488.3151331221932
83.0	3.7659041124907795e-07	1485.37862555419
84.0	3.7129423218460833e-07	1482.4421179861865
85.0	3.6599805312013876e-07	1479.505610418183
86.0	3.6070187405566924e-07	1476.5691028501797
87.0	3.554056949911996e-07	1473.632595282176
88.0	3.5010951592673006e-07	1470.6960877141726
89.0	3.448133368622605e-07	1467.7595801461691
90.0	3.3951715779779087e-07	1464.8230725781657
91.0	3.342209787333213e-07	1461.8865650101623
92.0	3.2892479966885173e-07	1458.950057442159
93.0	3.236286206043822e-07	1456.0135498741554
94.0	3.183324415399126e-07	1453.077042306152
95.0	3.1303626247544303e-07	1450.1405347381485
96.0	3.0774008341097346e-07	1447.204027170145
97.0	3.024439043465039e-07	1444.2675196021416
98.0	2.9714772528203433e-07	1441.3310120341382
99.0	2.9185154621756476e-07	1438.3945044661348
100.0	2.865553671530952e-07	1435.4579968981313
101.0	2.8125918808862557e-07	1432.521489330128
102.0	2.7596300902415595e-07	1429.5849817621245
103.0	2.706668299596865e-07	1426.6484741941208
104.0	2.6537065089521687e-07	1423.7119666261176
105.0	2.6007447183074725e-07	1420.7754590581142
106.0	2.547782927662777e-07	1417.8389514901107
107.0	2.494821137018081e-07	1414.9024439221073
108.0	2.441859346373386e-07	1411.9659363541036
109.0	2.38889755572869e-07	1409.0294287861004
110.0	2.335935765083994e-07	1406.092921218097
111.0	2.2829739744392984e-07	1403.1564136500933
112.0	2.230012183794603e-07	1400.21990608209
113.0	2.1770503931499065e-07	1397.2833985140867
114.0	2.1240886025052109e-07	1394.3468909460832
115.0	2.0711268118605155e-07	1391.4103833780798
116.0	2.018165021215819e-07	1388.4738758100762
117.0	1.9652032305711238e-07	1385.5373682420727
118.0	1.912241439926428e-07	1382.6008606740693
119.0	1.8592796492817327e-07	1379.6643531060658
120.0	1.8063178586370363e-07	1376.7278455380624
121.0	1.7533560679923414e-07	1373.791337970059
122.0	1.7003942773476447e-07	1370.8548304020558
123.0	1.6474324867029487e-07	1367.918322834052
124.0	1.5944706960582538e-07	1364.9818152660487
125.0	1.541508905413557e-07	1362.0453076980452
126.0	1.4885471147688622e-07	1359.1088001300418
127.0	1.4355853241241665e-07	1356.1722925620384
128.0	1.3826235334794706e-07	1353.235784994035
129.0	1.3296617428347747e-07	1350.2992774260315
130.0	1.27669995219008e-07	1347.362769858028
131.0	1.223738161545383e-07	1344.4262622900246
132.0	1.1707763709006871e-07	1341.4897547220212
133.0	1.1178145802559925e-07	1338.5532471540178
134.0	1.0648527896112955e-07	1335.6167395860143
135.0	1.0118909989666006e-07	1332.6802320180109
136.0	9.589292083219039e-08	1329.7437244500074
137.0	9.05967417677209e-08	1326.807216882004
138.0	8.530056270325133e-08	1323.8707093140006
139.0	8.000438363878174e-08	1320.9342017459971
140.0	7.470820457431214e-08	1317.9976941779937
141.0	6.941202550984258e-08	1315.0611866099903
142.0	6.411584644537298e-08	1312.1246790419868
143.0	5.881966738090339e-08	1309.1881714739834
144.0	5.3523488316433926e-08	1306.25166390598
145.0	4.8227309251964226e-08	1303.3151563379765
146.0	4.293113018749474e-08	1300.378648769973
147.0	3.763495112302517e-08	1297.4421412019697
148.0	3.2338772058555576e-08	1294.5056336339662
149.0	2.7042592994086008e-08	1291.5691260659628
150.0	2.1746413929616417e-08	1288.6326184979594
151.0	1.7678641247988215e-08	1285.696110929956
152.0	1.7637319962227933e-08	1282.7596033619525
153.0	1.759599867646765e-08	1279.823095793949
154.0	1.7554677390707367e-08	1276.8865882259456
155.0	1.7513356104947085e-08	1273.9500806579422
156.0	1.7472034819186802e-08	1271.0135730899387
157.0	1.743071353342652e-08	1268.0770655219353
158.0	1.7389392247666234e-08	1265.1405579539319
159.0	1.734807096190595e-08	1262.2040503859284
160.0	1.7306749676145668e-08	1259.267542817925
161.0	1.7265428390385382e-08	1256.3310352499216
162.0	1.72241071046251e-08	1253.3945276819181
163.0	1.7182785818864817e-08	1250.4580201139147
164.0	1.7141464533104534e-08	1247.5215125459113
165.0	1.7100143247344252e-08	1244.5850049779078
166.0	1.705882196158397e-08	1241.6484974099044
167.0	1.7017500675823686e-08	1238.711989841901
168.0	1.6976179390063404e-08	1235.7754822738975
169.0	1.6934858104303118e-08	1232.838974705894
170.0	1.6893536818542835e-08	1229.9024671378907
171.0	1.6852215532782553e-08	1226.9659595698872
172.0	1.6810894247022267e-08	1224.0294520018836
173.0	1.6769572961261984e-08	1221.0929444338803
174.0	1.67282516755017e-08	1218.156436865877
175.0	1.668693038974142e-08	1215.2199292978735
176.0	1.6645609103981136e-08	1212.28342172987
177.0	1.6604287818220853e-08	1209.3469141618666
178.0	1.656296653246057e-08	1206.4104065938632
179.0	1.6521645246700288e-08	1203.4738990258595
180.0	1.6480323960940002e-08	1200.537391457856
181.0	1.643900267517972e-08	1197.6008838898526
182.0	1.6397681389419437e-08	1194.6643763218494
183.0	1.635636010365915e-08	1191.727868753846
184.0	1.6315038817898868e-08	1188.7913611858426
185.0	1.6273717532138586e-08	1185.8548536178391
186.0	1.6232396246378303e-08	1182.9183460498357
187.0	1.619107496061802e-08	1179.981838481832
188.0	1.6149753674857738e-08	1177.0453309138286
189.0	1.6108432389097455e-08	1174.1088233458252
190.0	1.6067111103337172e-08	1171.1723157778217
191.0	1.602578981757689e-08	1168.2358082098185
192.0	1.5984468531816604e-08	1165.299300641815
193.0	1.594314724605632e-08	1162.3627930738116
194.0	1.5901825960296035e-08	1159.426285505808
195.0	1.5860504674535753e-08	1156.4897779378048
196.0	1.581918338877547e-08	1153.553270369801
197.0	1.5777862103015187e-08	1150.6167628017977
198.0	1.5736540817254905e-08	1147.6802552337942
199.0	1.5695219531494622e-08	1144.7437476657908
200.0	1.565389824573434e-08	1141.8072400977876
201.0	1.5612576959974057e-08	1138.8707325297842
202.0	1.5571255674213774e-08	1135.9342249617805
203.0	1.5529934388453488e-08	1132.997717393777
204.0	1.5488613102693205e-08	1130.0612098257736
205.0	1.544729181693292e-08	1127.1247022577702
206.0	1.5405970531172637e-08	1124.1881946897668
207.0	1.5364649245412354e-08	1121.2516871217633
208.0	1.532332795965207e-08	1118.31517955376
209.0	1.528200667389179e-08	1115.3786719857565
210.0	1.5240685388131506e-08	1112.442164417753
211.0	1.5199364102371224e-08	1109.5056568497496
212.0	1.515804281661094e-08	1106.5691492817461
213.0	1.511672153085066e-08	1103.6326417137427
214.0	1.5075400245090372e-08	1100.6961341457393
215.0	1.5034078959330093e-08	1097.7596265777358
216.0	1.4992757673569807e-08	1094.8231190097324
217.0	1.4951436387809524e-08	1091.886611441729
218.0	1.4910115102049242e-08	1088.9501038737255
219.0	1.4868793816288958e-08	1086.0135963057219
220.0	1.4827472530528673e-08	1083.0770887377184
221.0	1.478615124476839e-08	1080.140581169715
222.0	1.4744829959008108e-08	1077.2040736017118
223.0	1.4703508673247825e-08	1074.2675660337084
224.0	1.4662187387487543e-08	1071.3310584657047
225.0	1.4620866101727257e-08	1068.3945508977013
226.0	1.4579544815966974e-08	1065.458043329698
227.0	1.4538223530206691e-08	1062.5215357616944
228.0	1.4496902244446409e-08	1059.585028193691
229.0	1.4455580958686126e-08	1056.6485206256875
230.0	1.4414259672925842e-08	1053.7120130576843
231.0	1.4372938387165558e-08	1050.7755054896809
232.0	1.4331617101405275e-08	1047.8389979216772
233.0	1.4290295815644992e-08	1044.9024903536738
234.0	1.424897452988471e-08	1041.9659827856703
235.0	1.4207653244124425e-08	1039.029475217667
236.0	1.4166331958364141e-08	1036.0929676496635
237.0	1.4125010672603858e-08	1033.15646008166
238.0	1.4083689386843576e-08	1030.2199525136566
239.0	1.4042368101083293e-08	1027.2834449456532
240.0	1.400104681532301e-08	1024.3469373776497
241.0	1.3959725529562726e-08	1021.4104298096464
242.0	1.3918404243802442e-08	1018.4739222416429
243.0	1.387708295804216e-08	1015.5374146736394
244.0	1.3835761672281877e-08	1012.600907105636
245.0	1.3794440386521594e-08	1009.6643995376327
246.0	1.3753119100761311e-08	1006.7278919696292
247.0	1.3711797815001027e-08	1003.7913844016257
248.0	1.3670476529240744e-08	1000.8548768336223
249.0	1.362915524348046e-08	997.9183692656188
250.0	1.3587833957720177e-08	994.9818616976154
251.0	1.3546512671959895e-08	992.045354129612
252.0	1.350519138619961e-08	989.1088465616085
253.0	1.3463870100439328e-08	986.1723389936051
254.0	1.3422548814679044e-08	983.2358314256018
255.0	1.3381227528918761e-08	980.2993238575983
256.0	1.3339906243158478e-08	977.3628162895948
257.0	1.3298584957398196e-08	974.4263087215913
258.0	1.3257263671637911e-08	971.489801153588
259.0	1.3215942385877629e-08	968.5532935855845
260.0	1.3174621100117344e-08	965.6167860175809
261.0	1.3133299814357062e-08	962.6802784495776
262.0	1.3091978528596779e-08	959.7437708815742
263.0	1.3050657242836495e-08	956.8072633135707
264.0	1.3009335957076214e-08	953.8707557455673
265.0	1.296801467131593e-08	950.9342481775639
266.0	1.2926693385555645e-08	947.9977406095603
267.0	1.2885372099795363e-08	945.0612330415571
268.0	1.284405081403508e-08	942.1247254735536
269.0	1.2802729528274797e-08	939.18821790555
270.0	1.2761408242514513e-08	936.2517103375467
271.0	1.2720086956754229e-08	933.3152027695432
272.0	1.2678765670993946e-08	930.3786952015398
273.0	1.2637444385233663e-08	927.4421876335363
274.0	1.259612309947338e-08	924.5056800655329
275.0	1.2554801813713098e-08	921.5691724975295
276.0	1.2513480527952812e-08	918.6326649295261
277.0	1.2472159242192531e-08	915.6961573615226
278.0	1.2430837956432247e-08	912.7596497935191
279.0	1.2389516670671964e-08	909.8231422255158
280.0	1.2348195384911682e-08	906.8866346575121
281.0	1.2306874099151397e-08	903.9501270895089
282.0	1.2265552813391113e-08	901.0136195215053
283.0	1.222423152763083e-08	898.0771119535019
284.0	1.2182910241870548e-08	895.1406043854986
285.0	1.2141588956110265e-08	892.2040968174952
286.0	1.2100267670349982e-08	889.2675892494916
287.0	1.2058946384589698e-08	886.3310816814882
288.0	1.2017625098829415e-08	883.3945741134847
289.0	1.1976303813069131e-08	880.4580665454813
290.0	1.1934982527308849e-08	877.521558977478
291.0	1.1893661241548566e-08	874.5850514094744
292.0	1.1852339955788282e-08	871.648543841471
293.0	1.1811018670027997e-08	868.7120362734674
294.0	1.1769697384267715e-08	865.775528705464
295.0	1.1728376098507434e-08	862.8390211374607
296.0	1.168705481274715e-08	859.9025135694571
297.0	1.1645733526986867e-08	856.9660060014538
298.0	1.1604412241226584e-08	854.0294984334503
299.0	1.15630909554663e-08	851.092990865447
300.0	1.1521769669706015e-08	848.1564832974435
301.0	1.1480448383945733e-08	845.2199757294401
302.0	1.143912709818545e-08	842.2834681614365
303.0	1.1397805812425166e-08	839.3469605934331
304.0	1.1356484526664883e-08	836.4104530254298
305.0	1.13151632409046e-08	833.4739454574262
306.0	1.1273841955144318e-08	830.5374378894228
307.0	1.1232520669384034e-08	827.6009303214195
308.0	1.1191199383623751e-08	824.664422753416
309.0	1.1149878097863467e-08	821.7279151854125
310.0	1.1108556812103184e-08	818.7914076174092
311.0	1.10672355263429e-08	815.8549000494056
312.0	1.1025914240582617e-08	812.9183924814022
313.0	1.0984592954822334e-08	809.9818849133987
314.0	1.0943271669062052e-08	807.0453773453953
315.0	1.090195038330177e-08	804.1088697773919
316.0	1.0860629097541485e-08	801.1723622093884
317.0	1.0819307811781202e-08	798.2358546413851
318.0	1.0777986526020918e-08	795.2993470733816
319.0	1.0736665240260635e-08	792.3628395053781
320.0	1.0695343954500351e-08	789.4263319373747
321.0	1.0654022668740068e-08	786.4898243693713
322.0	1.0612701382979784e-08	783.5533168013678
323.0	1.0571380097219501e-08	780.6168092333643
324.0	1.0530058811459219e-08	777.680301665361
325.0	1.0488737525698936e-08	774.7437940973575
326.0	1.0447416239938653e-08	771.8072865293541
327.0	1.040609495417837e-08	768.8707789613507
328.0	1.0364773668418087e-08	765.9342713933471
329.0	1.0323452382657802e-08	762.9977638253438
330.0	1.028213109689752e-08	760.0612562573403
331.0	1.0240809811137237e-08	757.1247486893369
332.0	1.0199488525376954e-08	754.1882411213334
333.0	1.015816723961667e-08	751.2517335533299
334.0	1.0116845953856386e-08	748.3152259853266
335.0	1.0075524668096103e-08	745.3787184173232
336.0	1.003420338233582e-08	742.4422108493196
337.0	9.992882096575538e-09	739.5057032813162
338.0	9.951560810815253e-09	736.5691957133129
339.0	9.910239525054971e-09	733.6326881453092
340.0	9.868918239294687e-09	730.696180577306
341.0	9.827596953534404e-09	727.7596730093024
342.0	9.786275667774121e-09	724.823165441299
