#r [R_J]	sigma [M_J/R_J^2]	T [K]
1.0	3.899137870915069e-07	1000.4520136099998
1.00624021847	3.9322965478209516e-07	1000.8846266039409
1.01251937726	3.965740166347066e-07	1001.3205854634169
1.01883771938	3.9994711999559655e-07	1001.7598943670772
1.02519548934	4.0334921437885293e-07	1002.2025575071222
1.03159293316	4.0678055148556527e-07	1002.6485790893291
1.03803029844	4.102413852231685e-07	1003.0979633330759
1.04450783428	4.1373197172495527e-07	1003.5507144713663
1.05102579136	4.172525693697641e-07	1004.006836750852
1.05758442191	4.2080343880184304e-07	1004.4663344318592
1.06418397975	4.243848429508904e-07	1004.9292117884111
1.07082472028	4.2799704705227247e-07	1005.3954731082549
1.07750690047	4.316403186674258e-07	1005.8651226928844
1.08423077894	4.353149277044371e-07	1006.3381648575644
1.09099661587	4.390211464388089e-07	1006.8146039313565
1.0978046731	4.4275924953441003e-07	1007.2944442571445
1.1046552141	4.4652951406461337e-07	1007.7776901916571
1.11154850396	4.5033221953362026e-07	1008.2643461054938
1.11848480947	4.541676478979792e-07	1008.7544163831509
1.12546439903	4.5803608358829246e-07	1009.2479054230446
1.13248754276	4.619378135311187e-07	1009.7448176375375
1.13955451244	4.6587312717107005e-07	1010.2451574529623
1.14666558156	4.6984231649310776e-07	1010.7489293096494
1.1538210253	4.738456760450336e-07	1011.2561376619497
1.16102112057	4.778835029601873e-07	1011.7667869782607
1.16826614601	4.819560969803417e-07	1012.2808817410519
1.17555638199	4.86063760478805e-07	1012.7984264468914
1.18289211064	4.902067984837279e-07	1013.3194256064702
1.19027361583	4.943855187016206e-07	1013.8438837446271
1.19770118323	4.986002315410761e-07	1014.371805400375
1.20517510028	5.028512501367112e-07	1014.9031951269287
1.2126956562	5.071388903733156e-07	1015.4380574917268
1.22026314203	5.114634709102203e-07	1015.9763970764598
1.22787785063	5.158253132058811e-07	1016.5182184770969
1.23554007667	5.202247415426852e-07	1017.0635263039096
1.24325011667	5.246620830519734e-07	1017.6123251814988
1.25100826901	5.291376677392938e-07	1018.1646197488212
1.25881483392	5.336518285098747e-07	1018.7204146592161
1.26667011349	5.382049011943268e-07	1019.2797145804293
1.27457441173	5.427972245745767e-07	1019.8425241946416
1.28252803451	5.47429140410032e-07	1020.4088481984932
1.29053128964	5.521009934639752e-07	1020.9786913031136
1.29858448683	5.568131315302015e-07	1021.5520582341437
1.30668793773	5.615659054598888e-07	1022.128953731765
1.31484195593	5.663596691887102e-07	1022.709382550725
1.32304685699	5.711947797641876e-07	1023.2933494603662
1.33130295842	5.760715973732919e-07	1023.8808592446494
1.33961057973	5.80990485370286e-07	1024.4719167021824
1.34797004241	5.859518103048223e-07	1025.066526646248
1.35638166997	5.909559419502864e-07	1025.664693904828
1.36484578791	5.96003253332397e-07	1026.266423320633
1.37336272381	6.010941207580606e-07	1026.8717197511273
1.38193280724	6.062289238444844e-07	1027.480588068559
1.39055636987	6.114080455485478e-07	1028.093033159983
1.39923374541	6.166318721964418e-07	1028.709059927292
1.40796526967	6.21900793513567e-07	1029.3286732872411
1.41675128055	6.272152026547035e-07	1029.9518781714792
1.42559211806	6.325754962344483e-07	1030.5786795265706
1.43448812432	6.379820743579271e-07	1031.209082314028
1.44343964361	6.434353406517765e-07	1031.843091510336
1.45244702233	6.489357022954114e-07	1032.4807121069834
1.46151060907	6.54483570052563e-07	1033.1219491104862
1.47063075456	6.600793583031055e-07	1033.7668075424167
1.47980781176	6.657234850751644e-07	1034.4152924394348
1.48904213579	6.714163720775143e-07	1035.067408853311
1.49833408403	6.771584447322624e-07	1035.7231618509581
1.50768401606	6.829501322078314e-07	1036.3825565144568
1.5170922937	6.887918674522319e-07	1037.0455979410865
1.52655928105	6.946840872266339e-07	1037.7122912433506
1.53608534447	7.006272321392409e-07	1038.3826415490073
1.54567085261	7.066217466794651e-07	1039.0566540010955
1.55531617641	7.126680792524075e-07	1039.7343337579669
1.56502168914	7.187666822136516e-07	1040.4156859933107
1.57478776639	7.249180119043639e-07	1041.1007158961836
1.58461478609	7.3112252868671e-07	1041.7894286710402
1.59450312854	7.373806969795885e-07	1042.481829537758
1.60445317642	7.436929852946849e-07	1043.177923731671
1.61446531476	7.481493653004231e-07	1043.8777165035933
1.62453993104	7.526342054492691e-07	1044.581213119853
1.63467741512	7.571476976860474e-07	1045.288418862317
1.64487815931	7.616900353055647e-07	1045.9993390284235
1.65514255838	7.662614129623883e-07	1046.7139789312077
1.66547100955	7.708620266807011e-07	1047.432343899336
1.6758639125	7.754920738642198e-07	1048.154439277129
1.68632166944	7.801517533062046e-07	1048.8802704245966
1.69684468506	7.848412651995249e-07	1049.609842717463
1.70743336661	7.875052553647049e-07	1050.3431615472
1.71808812384	7.901794567924277e-07	1051.0802323210537
1.72880936908	7.928639119298408e-07	1051.821060462075
1.73959751723	7.955586634088265e-07	1052.5656514091506
1.75045298579	7.982637540468191e-07	1053.3140106170313
1.76137619484	8.009792268476378e-07	1054.066143556362
1.7723675671	8.037051250023119e-07	1054.8220557137115
1.78342752793	8.06441491889917e-07	1055.581752591605
1.79455650533	8.091883710784161e-07	1056.3452397085503
1.80575492997	8.119458063254953e-07	1057.1125225990704
1.81702323524	8.147138415794162e-07	1057.883606813733
1.82836185719	8.174925209798589e-07	1058.6584979191825
1.83977123462	8.202818888587789e-07	1059.4372014981668
1.85125180906	8.230819897412658e-07	1060.219723149571
