#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
61	0	6.53858e-08	0	0	-36.9178	109.377	0.206631	-52474.8	-18266.6	427.312	101.933	0.132835	0.00791278	2	0.00154109	0	0	23530.3
114	0	2.94687e-08	0	0	87.3283	1.53366	0.262517	10161	72110.3	-599.821	100.1	0.201126	0.00931543	2	0.00154109	0	0	51678.7
127	1	1.56551e-06	0	0	-59.822	-36.0253	-0.0144711	39663.8	-65741	12.9749	69.9701	0.00214138	0.000267288	2	0.00154109	0	132291	817.283
123	0	3.91425e-08	0	0	127.423	-72.3751	-1.06696	20443.3	43898.1	-209.777	125.947	0.181864	0.00879564	2	0.00154109	0	0	43732.7
58	0	4.08567e-08	0	0	-60.1505	80.5526	1.17834	-59502.9	-36888.4	712.1	125.6	0.216761	0.0148955	2	0.00154109	0	0	41647.7
42	0	2.63462e-08	0	0	-103.721	-12.2773	0.0742069	-827.309	-66141.3	777.856	117.676	0.171223	0.0117879	2	0.00154109	0	0	62602.3
98	0	8.15298e-09	0	0	-58.7164	-157.821	1.56244	45558	-8478.16	-336.508	150.382	0.208097	0.0109192	2	0.00154109	0	0	228096
195	0	4.75805e-08	0	0	-85.2911	-94.2375	4.07261	33311.5	-45870.5	-3647.28	127.022	0.203031	0.0790758	2	0.00154109	0	0	35783.6
201	1	2.08116e-07	0	0	-21.1947	-156.783	2.23675	48472	2696.5	744.293	144.874	0.20914	0.023145	2	0.00154109	34298.6	0	8795.44
102	0	4.51394e-07	0	0	-130.13	-79.5689	-0.677008	29425.2	-44982.9	216.808	164.484	0.0787808	0.00590849	2	0.00154109	0	596782	4349.29
92	0	1.51787e-08	0	0	151.579	-75.0827	-0.254104	27240.4	43061.3	-323.178	181.691	0.124558	0.00639882	2	0.00154109	0	0	134639
167	0	5.533e-07	0	0	-169.574	-25.1175	0.562413	2447.17	-43949.9	182.307	143.868	0.211477	0.0050645	2	0.00154109	0	511432	3284.36
118	0	2.49335e-08	0	0	-154.734	68.8433	1.0373	-16641.1	-48868.3	301.487	187.888	0.133371	0.00887226	2	0.00154109	0	0	83096.2
9	1	2.46782e-07	0	0	-53.2482	-171.891	-0.266398	47050.5	-17815.5	-183.167	201.881	0.124666	0.0038522	2	0.00154109	0	0	8758.55
25	0	8.94973e-09	0	0	-101.482	-172.555	-3.07436	38412.3	-27606.6	-1449.22	220.351	0.129289	0.0331182	2	0.00154109	0	0	251882
7	1	2.55168e-07	0	0	6.33545	206.204	-0.246291	-41412.1	-1833.24	6.47387	181.415	0.155952	0.00119572	2	0.00154109	0	0	8048.07
29	0	9.88933e-08	0	0	202.038	-130.764	-2.67869	23580.6	30841.6	1424.97	215.687	0.139267	0.0392795	2	0.00154109	0	0	22478.9
196	0	2.78553e-08	0	0	61.3312	-122.782	1.70734	51432.7	26510.4	-671.466	155.743	0.119369	0.0169041	2	0.00154109	0	0	68275.3
50	0	1.94611e-08	0	0	53.8654	-226.203	2.75355	40992.1	5730.72	-210.813	225.704	0.0993549	0.0133859	2	0.00154109	0	0	116971
71	0	5.37043e-08	0	0	114.002	-222.418	1.75902	35780.5	13978.4	-294.371	226.752	0.143338	0.0109715	2	0.00154109	0	0	42498.4
