#time	ID1	type1	mass1	wm1	swm1	x1	y1	z1	vx1	vy1	vz1	ID2	type2	mass2	wm2	swm2	x2	y2	z2	vx2	vy2	vz2	ID	type	mass	wm	swm	x	y	z	vx	vy	vz
34.7176	130	0	3.44728e-11	0	0	64.2678	63.4412	-0.395707	-47384.9	48002.3	5.70326	166	0	3.20122e-11	0	0	64.2663	63.429	-0.378559	-47379.9	48008.8	582.208	130	0	6.64851e-11	0	0	64.2671	63.4353	-0.38745	-47382.5	48005.4	283.287
161.753	73	0	4.06441e-11	0	0	77.0759	127.549	-0.326456	-44938.3	27155.7	51.9501	128	0	3.59547e-11	0	0	77.0908	127.59	-0.303993	-44933.4	27148.7	-189.503	73	0	7.65989e-11	0	0	77.0829	127.568	-0.315912	-44936	27152.4	-61.3855
287.998	200	0	8.16736e-11	0	0	86.31	37.8571	0.0800254	-26520.9	60464	247.697	175	0	5.7983e-11	0	0	86.2592	37.8461	0.0898322	-26534.4	60476.7	408.372	200	0	1.39657e-10	0	0	86.2889	37.8526	0.084097	-26526.5	60469.3	314.406
363.746	156	0	1.4728e-10	0	0	69.5484	6.14907	0.423279	-6755.9	76411.7	3.04504	72	0	9.45166e-11	0	0	69.5045	6.14838	0.43748	-6758.11	76433.9	-517.757	156	0	2.41796e-10	0	0	69.5312	6.1488	0.42883	-6756.76	76420.4	-200.533
439.493	119	0	2.38076e-10	0	0	126.766	-144.497	0.0479953	34753.6	30489.2	8.98404	52	0	3.45204e-11	0	0	126.735	-144.55	0.106289	34760.3	30476.3	315.071	119	0	2.72596e-10	0	0	126.762	-144.503	0.0553774	34754.5	30487.6	47.7456
515.241	24	0	3.10262e-11	0	0	188.096	-256.441	-1.31144	28980.6	21258.3	-281.49	87	0	3.09628e-11	0	0	187.978	-256.476	-1.34286	28991.5	21247	303.842	24	0	6.1989e-11	0	0	188.037	-256.458	-1.32713	28986	21252.7	10.8763
893.979	40	0	1.01948e-08	0	0	38.6172	-67.5131	0.0583292	63088.9	36086.5	-41.7578	111	0	3.60261e-10	0	0	38.5278	-67.3894	0.0614905	63156.8	36107.8	-319.066	40	0	1.05551e-08	0	0	38.6142	-67.5089	0.0584371	63091.2	36087.3	-51.2228
1727.2	126	0	1.06318e-09	0	0	116.883	71.3991	-0.178637	-28551.1	46739	-21.1498	158	0	2.46162e-10	0	0	116.996	71.4501	-0.175198	-28532.7	46721.2	152.708	126	0	1.30934e-09	0	0	116.904	71.4087	-0.17799	-28547.6	46735.7	11.5364
2812.92	120	0	6.33978e-10	0	0	-83.3902	52.6541	0.710623	-34459.7	-54574.5	-44.2817	113	0	3.70334e-10	0	0	-83.2989	52.6046	0.687258	-34483	-54597.7	-440.168	120	0	1.00431e-09	0	0	-83.3565	52.6358	0.702007	-34468.3	-54583	-190.262
3418.9	164	0	2.82887e-09	0	0	65.6322	-83.9425	-0.234104	48917.7	38246.8	150.856	125	0	9.58152e-10	0	0	65.5077	-83.8369	-0.189661	48965.4	38261.1	-317.882	164	0	3.78702e-09	0	0	65.6007	-83.9158	-0.222859	48929.8	38250.4	32.2608
3696.64	42	0	2.93902e-10	0	0	121.116	69.1211	-0.677229	-26904.1	47141.1	-149.172	169	0	2.48425e-10	0	0	121.196	69.2031	-0.634167	-26904.9	47116.5	-232.439	42	0	5.42327e-10	0	0	121.153	69.1587	-0.657504	-26904.5	47129.8	-187.315
4580.36	177	0	1.19924e-09	0	0	43.203	-123.478	0.432815	52897.3	18507.5	-106.333	59	0	5.92004e-10	0	0	43.1122	-123.339	0.41309	52934.4	18504	248.317	177	0	1.79124e-09	0	0	43.173	-123.432	0.426296	52909.5	18506.3	10.8784
7484.01	2	1	7.22216e-08	0	0	81.2175	57.9202	0.216904	-37262.4	52249.8	303.282	199	0	8.37323e-10	0	0	80.9429	57.7054	0.242524	-37315.7	52348.6	-456.793	2	1	7.30589e-08	0	0	81.2143	57.9178	0.217198	-37263	52251	294.571
9200.96	163	0	1.75147e-09	0	0	138.475	-53.0924	0.29604	18833.8	49144.6	219.523	178	0	4.91907e-10	0	0	138.641	-53.1823	0.255362	18836.2	49111.3	442.457	163	0	2.24338e-09	0	0	138.512	-53.1121	0.287121	18834.3	49137.3	268.406
9503.95	153	0	3.87155e-08	0	0	-244.872	92.8472	-0.0469495	-14042.7	-37035.8	1.9312	115	0	6.00225e-11	0	0	-244.307	92.5412	0.156903	-14046.9	-37082.9	276.901	153	0	3.87755e-08	0	0	-244.871	92.8467	-0.0466339	-14042.7	-37035.9	2.35684
