#ID	time	type	mass	wm	swm	r	x	y	z	vx	vy	vz	a	ecc	inc	formation_time	collision	collision_index
166	34.7176	0	3.20122e-11	0	0	90.2962	64.2663	63.429	-0.378559	-47379.9	48008.8	582.208	90.297	6.00436e-08	0.00959564	0	1	130
128	161.753	0	3.59547e-11	0	0	149.071	77.0908	127.59	-0.303993	-44933.4	27148.7	-189.503	149.071	1.51918e-07	0.00414589	0	1	73
175	287.998	0	5.7983e-11	0	0	94.1965	86.2592	37.8461	0.0898322	-26534.4	60476.7	408.372	94.1965	3.71526e-07	0.00625658	0	1	200
72	363.746	0	9.45166e-11	0	0	69.7759	69.5045	6.14838	0.43748	-6758.11	76433.9	-517.757	69.7774	1.23812e-06	0.00921081	0	1	156
52	439.493	0	3.45204e-11	0	0	192.241	126.735	-144.55	0.106289	34760.3	30476.3	315.071	192.24	1.37146e-06	0.00683778	0	1	119
87	515.241	0	3.09628e-11	0	0	317.987	187.978	-256.476	-1.34286	28991.5	21247	303.842	317.99	1.3362e-08	0.00944929	0	1	24
111	893.979	0	3.60261e-10	0	0	77.6255	38.5278	-67.3894	0.0614905	63156.8	36107.8	-319.066	77.6239	2.09182e-05	0.00445673	0	1	40
158	1727.2	0	2.46162e-10	0	0	137.088	116.996	71.4501	-0.175198	-28532.7	46721.2	152.708	137.088	6.32846e-07	0.00306828	0	1	126
113	2812.92	0	3.70334e-10	0	0	98.5188	-83.2989	52.6046	0.687258	-34483	-54597.7	-440.168	98.5204	8.05696e-06	0.00975317	0	1	120
125	3418.9	0	9.58152e-10	0	0	106.395	65.5077	-83.8369	-0.189661	48965.4	38261.1	-317.882	106.396	9.98251e-06	0.00541715	0	1	164
169	3696.64	0	2.48425e-10	0	0	139.562	121.196	69.2031	-0.634167	-26904.9	47116.5	-232.439	139.566	1.49042e-05	0.00624504	0	1	42
59	4580.36	0	5.92004e-10	0	0	130.657	43.1122	-123.339	0.41309	52934.4	18504	248.317	130.657	6.47763e-06	0.00544111	0	1	177
199	7484.01	0	8.37323e-10	0	0	99.4065	80.9429	57.7054	0.242524	-37315.7	52348.6	-456.793	99.4064	3.88607e-05	0.00751269	0	1	2
178	9200.96	0	4.91907e-10	0	0	148.491	138.641	-53.1823	0.255362	18836.2	49111.3	442.457	148.494	4.06525e-05	0.00858565	0	1	163
115	9503.95	0	6.00225e-11	0	0	261.247	-244.307	92.5412	0.156903	-14046.9	-37082.9	276.901	261.225	8.52186e-05	0.00700855	0	1	153
149	27203.6	0	2.30797e-08	0	0	145.313	28.7128	142.448	-0.124614	-52145	10472.2	-33.6432	145.385	0.00086574	0.00106597	0	1	127
95	32960.4	0	3.07516e-08	0	0	64.9995	-0.251124	64.999	0.190133	-81038.4	-365.956	-311.342	67.6386	0.0390191	0.00482716	0	0	-893615488
8	34298.6	1	7.04006e-08	0	0	64.9999	12.6608	63.7549	0.017521	-79735.9	15831.3	327.576	68.0997	0.0455183	0.0040386	0	0	-893615488
12	46544.5	0	3.13914e-10	0	0	273.141	17.872	272.556	-0.0678823	-38698	2540.41	339.529	273.128	8.80409e-05	0.00875827	0	1	161
124	51594.3	0	3.63975e-10	0	3.0035e-13	381.305	-153.46	-349.061	-0.0743958	30045.4	-13214.5	101.243	381.258	0.000196967	0.00309069	0	1	4
