#ID	init_time	type	mass	wm	swm	r2D	theta	x	y	z	init_temp
1	0	1	3.0035e-08	0	0	71.5609	2.40649	-53.0811	47.9933	0.680124	485.932
2	0	1	3.0035e-08	0	0	99.7896	-1.34986	21.8687	-97.3639	-0.522258	411.626
3	0	1	3.0035e-08	0	3.0035e-09	518.827	-1.72031	-77.2827	-513.039	-2.71638	180.362
4	0	1	3.0035e-08	0	3.0035e-10	383.029	-1.60857	-14.4636	-382.756	-0.239825	209.996
5	0	1	3.0035e-08	1.2014e-08	6.007e-09	1706.42	3.07176	-1702.26	119.061	8.69959	99.5146
6	0	1	3.0035e-08	0	3.0035e-10	410.379	-0.572246	345	-222.229	0.41309	202.86
7	0	1	3.0035e-08	0	0	225.524	-0.387509	208.802	-85.2216	2.06855	273.732
8	0	1	3.0035e-08	0	0	68.7224	2.29551	-45.5575	51.4518	0.339508	496.117
9	0	1	3.0035e-08	0	0	216.767	0.713443	163.9	141.861	-1.85959	279.47
10	0	1	3.0035e-08	1.2014e-08	6.007e-09	688.985	-2.31085	-464.601	-508.769	2.86476	156.705
11	0	0	3.0035e-11	0	3.0035e-12	455.51	-2.02156	-198.445	-410.011	-0.71238	192.386
12	0	0	3.0035e-11	0	0	273.123	-2.73223	-250.556	-108.708	2.46349	248.476
13	0	0	3.0035e-11	1.2014e-11	6.007e-12	2896.12	-0.00408434	2896.09	-11.8287	21.5431	76.3434
14	0	0	3.0035e-11	0	3.0035e-13	324.993	0.67877	252.957	204.042	0.762912	228.164
15	0	0	3.0035e-11	1.2014e-11	6.007e-12	2271.43	0.460521	2034.8	1009.46	-22.3233	86.263
16	0	0	3.0035e-11	1.2014e-11	6.007e-12	3286.8	0.24312	3190.14	791.237	22.9016	71.7372
17	0	0	3.0035e-11	0	3.0035e-13	417.966	-0.236028	406.378	-97.7385	-3.78447	200.998
18	0	0	3.0035e-11	1.2014e-11	6.007e-12	734.653	-1.21203	257.954	-687.877	-3.86269	151.729
19	0	0	3.0035e-11	0	0	178.534	1.03437	91.2432	153.457	-1.21363	307.877
20	0	0	3.0035e-11	1.2014e-11	6.007e-12	731.26	-2.00511	-307.704	-663.37	4.01488	152.08
21	0	0	3.0035e-11	0	0	172.003	0.721307	129.164	113.585	-1.14318	313.607
